prompt,code
create a rectangle 5 wide and 2 tall on the YZ plane,"sketch = Sketch.create(YZPlane)
sketch.addRectangle(5,2)"
draw a rectangle of width 2 and height 8 on the XY plane,"sketch = Sketch.create(XYPlane)
sketch.addRectangle(2,8)"
draw a square of side 10 on the YZ plane,"sketch = Sketch.create(YZPlane)
sketch.addRectangle(10,10)"
sketch a rectangle measuring 3.5 by 2.5 on the XY plane,"sketch = Sketch.create(XYPlane)
sketch.addRectangle(3.5,2.5)"
draw a square of side 8 on the XZ plane,"sketch = Sketch.create(XZPlane)
sketch.addRectangle(8,8)
Multiple Sketch Elements"
"on the XY plane, draw a rectangle 10 by 6 and a circle of radius 2 at (5,3)","sketch = Sketch.create(XYPlane)
sketch.addRectangle(10,6)
sketch.addCircle(5,3, 2)"
"on the XZ plane, draw a horizontal line from (0,0) to (4,0) and a vertical line from (0,0) to (0,5)","sketch = Sketch.create(XZPlane)
sketch.addLine(0,0, 4,0)
sketch.addLine(0,0, 0,5)"
"draw a circle of radius 3 and another circle of radius 1 at (2,0) on the XY plane","sketch = Sketch.create(XYPlane)
sketch.addCircle(0,0, 3)
sketch.addCircle(2,0, 1)"
"on the XY plane, draw a triangle connecting (0,0), (5,0), and (5,5)","sketch = Sketch.create(XYPlane)
sketch.addLine(0,0, 5,0)
sketch.addLine(5,0, 5,5)
sketch.addLine(5,5, 0,0)"
"on the YZ plane, draw a circle of radius 2 at (0,0) and a line from (0,0) to (0,4)","sketch = Sketch.create(YZPlane)
sketch.addCircle(0,0, 2)
sketch.addLine(0,0, 0,4)
Extrusion (Pad) Commands
These commands take a 2D sketch or profile and extrude it to create a 3D solid. The input command specifies the sketch (often by describing a shape drawn on a plane) and the extrusion distance (and sometimes direction). The code shows the sketch creation and then uses Part.extrude(sketch, distance, direction) to perform the extrusion. If no direction is given, the extrusion is along the sketch’s normal."
draw a circle of radius 5 on the XY plane and extrude it by 10,"sketch = Sketch.create(XYPlane)
sketch.addCircle(0,0, 5)
solid = Part.extrude(sketch, 10)"
draw a rectangle 4 by 6 on the XZ plane and extrude it by 5,"sketch = Sketch.create(XZPlane)
sketch.addRectangle(4,6)
solid = Part.extrude(sketch, 5)"
"on the YZ plane, sketch a circle of radius 3 and extrude it by 12 along the X axis","sketch = Sketch.create(YZPlane)
sketch.addCircle(0,0, 3)
solid = Part.extrude(sketch, 12, direction=XAxis)"
draw a square of side 2 on the XY plane and extrude it by 5,"sketch = Sketch.create(XYPlane)
sketch.addRectangle(2,2)
solid = Part.extrude(sketch, 5)"
extrude the sketch on the XZ plane by 10 in the positive Y direction,"sketch = Sketch.create(XZPlane)
solid = Part.extrude(sketch, 10, direction=YAxis)"
extrude the sketch by 15 mm upward,"solid = Part.extrude(sketch, 15)"
"on the XZ plane, extrude the sketch by 8 along the Y axis","sketch = Sketch.create(XZPlane)
solid = Part.extrude(sketch, 8, direction=YAxis)"
draw a polygon (triangle) on the XY plane and extrude it by 4,"sketch = Sketch.create(XYPlane)
sketch.addLine(0,0, 4,0)
sketch.addLine(4,0, 2,3)
sketch.addLine(2,3, 0,0)
solid = Part.extrude(sketch, 4)"
draw a circle of radius 2 on the XZ plane and extrude it by 7,"sketch = Sketch.create(XZPlane)
sketch.addCircle(0,0, 2)
solid = Part.extrude(sketch, 7)
Revolution (Rotate) Commands
These commands revolve a 2D profile around an axis to create a 3D object. The command indicates the angle of rotation (in degrees) and the axis (X, Y, or Z). The code uses Part.revolve(sketch, Axis, angle) after creating the sketch. Some commands use the word “rotate” in a context of revolving a profile, which the code handles with the revolve function."
revolve the sketch on the XY plane 360 degrees around the Z axis,"sketch = Sketch.create(XYPlane)
solid = Part.revolve(sketch, ZAxis, 360)"
rotate the sketch 180 degrees about the X axis,"solid = Part.revolve(sketch, XAxis, 180)"
"draw a circle of radius 2 at (5,0) on the XY plane and revolve it 360 degrees about the Y axis","sketch = Sketch.create(XYPlane)
sketch.addCircle(5,0, 2)
solid = Part.revolve(sketch, YAxis, 360)"
draw a rectangle 2 by 4 on the XZ plane and revolve it 90 degrees around the X axis,"sketch = Sketch.create(XZPlane)
sketch.addRectangle(2,4)
solid = Part.revolve(sketch, XAxis, 90)"
"on the YZ plane, revolve the profile by 360 degrees around the Z axis","sketch = Sketch.create(YZPlane)
solid = Part.revolve(sketch, ZAxis, 360)"
revolve the sketch by 270 degrees around the Y axis,"solid = Part.revolve(sketch, YAxis, 270)"
rotate the profile around the X axis by 360 degrees,"solid = Part.revolve(sketch, XAxis, 360)"
"draw a line from (0,5) to (0,10) on the XZ plane and revolve it 360 degrees around the Z axis","sketch = Sketch.create(XZPlane)
sketch.addLine(0,5, 0,10)
solid = Part.revolve(sketch, ZAxis, 360)"
draw a semicircle of radius 4 on the XY plane and revolve it 360 degrees around the X axis,"sketch = Sketch.create(XYPlane)
sketch.addCircle(0,0, 4)
solid = Part.revolve(sketch, XAxis, 360)
Boolean Operations
These commands perform boolean operations between solids, such as cutting (subtracting), fusing (union), or intersecting shapes. The command often consists of creating two shapes and then specifying the operation. The code first creates the two objects (using Part.create...) and then applies Part.cut, Part.union, or Part.intersect accordingly. All dimensions for both shapes are given in the command and used in code. The operation is described with words like “cut”, “subtract”, “combine”, or “intersect” in the command."
"create a 10×10×10 box and a cylinder of radius 5 and height 10, then cut the cylinder out of the box","box = Part.createBox(10,10,10)
cylinder = Part.createCylinder(5,10)
result = Part.cut(box, cylinder)"
"create a box of length 8, width 8, height 8 and a sphere of radius 5, subtract the sphere from the box","box = Part.createBox(8,8,8)
sphere = Part.createSphere(5)
result = Part.cut(box, sphere)"
"create a sphere of radius 5 and a cylinder of radius 5 and height 10, then union them","sphere = Part.createSphere(5)
cylinder = Part.createCylinder(5,10)
result = Part.union(sphere, cylinder)"
"create a 6×6×6 box and a cylinder of radius 3 and height 6, then combine them","box = Part.createBox(6,6,6)
cylinder = Part.createCylinder(3,6)
result = Part.union(box, cylinder)"
"create a 10×10×10 box and a sphere of radius 8 at (5,5,5), then intersect them","box = Part.createBox(10,10,10)
sphere = Part.createSphere(8, center=(5,5,5))
result = Part.intersect(box, sphere)"
"create a cylinder of radius 4 and height 8 and a sphere of radius 4, then find their intersection","cylinder = Part.createCylinder(4,8)
sphere = Part.createSphere(4)
result = Part.intersect(cylinder, sphere)
Transformation Commands
These commands move or rotate existing objects, or mirror them across a plane. The natural language command might use terms like “move”, “translate”, “rotate”, or “mirror” along with distances or angles. The code uses transformation functions such as Part.translate(object, (dx,dy,dz)) to move an object, Part.rotate(object, Axis, angle) to rotate an object about an axis, and Part.mirror(object, Plane) to mirror an object. Some commands chain multiple transformations (e.g. rotate then move) in one sequence."
"create a sphere of radius 3 and move it by (10, 0, 0)","sphere = Part.createSphere(3)
sphere = Part.translate(sphere, (10,0,0))"
"create a box 2×2×2 and translate it by (5, 5, 0)","box = Part.createBox(2,2,2)
box = Part.translate(box, (5,5,0))"
"create a cylinder (radius 1, height 5) and rotate it 90 degrees around the Z axis","cylinder = Part.createCylinder(1,5)
cylinder = Part.rotate(cylinder, ZAxis, 90)"
create a box 3×2×1 and mirror it across the YZ plane,"box = Part.createBox(3,1,2)
mirrored_box = Part.mirror(box, YZPlane)"
"create a box of length 4, width 2, height 1 and rotate it 45 degrees about the X axis","box = Part.createBox(4,1,2)
box = Part.rotate(box, XAxis, 45)"
create a cylinder of radius 2 and height 5 and mirror it across the XY plane,"cylinder = Part.createCylinder(2,5)
mirrored = Part.mirror(cylinder, XYPlane)"
"create a box 1×1×3, rotate it 90 degrees around the Z axis and then move it by (0, 5, 0)","box = Part.createBox(1,3,1)
box = Part.rotate(box, ZAxis, 90)
box = Part.translate(box, (0,5,0))"
"create a sphere of radius 2, move it by (2, 2, 0) and mirror it across the XZ plane","sphere = Part.createSphere(2)
sphere = Part.translate(sphere, (2,2,0))
mirrored = Part.mirror(sphere, XZPlane)"
create a cylinder of radius 1 and height 2 and move it up by 5,"cylinder = Part.createCylinder(1,2)
cylinder = Part.translate(cylinder, (0,0,5))"
create a sphere of radius 4 and rotate it 90 degrees around the Y axis,"sphere = Part.createSphere(4)
sphere = Part.rotate(sphere, YAxis, 90)"
