source,chunk_id,content
Reinforcement_BarShapeCutList.wikitext,5,"Example
```start_code
from pathlib import Path
from xml.dom import minidom
from xml.etree import ElementTree

import Draft, Arch, Stirrup
from RebarShapeCutList import RebarShapeCutListfunc

Rect = Draft.makeRectangle(400, 400)
Structure = Arch.makeStructure(Rect, height=1600)
Structure.ViewObject.Transparency = 80
FreeCAD.ActiveDocument.recompute()

Rebar = Stirrup.makeStirrup(
    20, 20, 20, 20, 20, 90, 4, 8, 2, True, 10, Structure, ""Face6""
)
end_code```"
Reinforcement_BarShapeCutList.wikitext,6,"```start_code
Rebar = Stirrup.makeStirrup(
    20, 20, 20, 20, 20, 90, 4, 8, 2, True, 10, Structure, ""Face6""
)

rebar_shape_svg = RebarShapeCutListfunc.getRebarShapeSVG(
    Rebar,
    view_direction=FreeCAD.Vector(0, 0, 0),
    include_mark=True,
    stirrup_extended_edge_offset=2,
    rebar_stroke_width=0.35,
    rebar_color_style=""shape color"",
    include_dimensions=True,
    rebar_dimension_units=""mm"",
    rebar_length_dimension_precision=0,
    include_units_in_dimension_label=True,
    bent_angle_dimension_exclude_list=(45, 90, 180),
    dimension_font_family=""DejaVu Sans"",
    dimension_font_size=2,
    helical_rebar_dimension_label_format=""%L,r=%R,pitch=%P"",
    scale=1,
    max_height=100,
    max_width=100,
    side_padding=1,
    horizontal_shape=False,
)
end_code```"
Reinforcement_BarShapeCutList.wikitext,7,"```start_code
output_file = str(Path.home() / ""StirrupRebarShape.svg"")
with open(output_file, ""w"", encoding=""utf-8"") as f:
    f.write(
        minidom.parseString(
            ElementTree.tostring(rebar_shape_svg, encoding=""unicode"")
        ).toprettyxml(indent=""  "")
    )
end_code```
Create Rebar Shape Cut List SVG"
Reinforcement_BarShapeCutList.wikitext,8,"```start_code
getRebarShapeCutList(
    base_rebars_list: Optional[List] = None,
    view_directions: Union[
        Union[FreeCAD.Vector, WorkingPlane.Plane],
        List[Union[FreeCAD.Vector, WorkingPlane.Plane]],
    ] = FreeCAD.Vector(0, 0, 0),
    include_mark: bool = True,
    stirrup_extended_edge_offset: float = 2,
    rebars_stroke_width: float = 0.35,
    rebars_color_style: str = ""shape color"",
    include_dimensions: bool = True,
    rebar_edge_dimension_units: str = ""mm"",
    rebar_edge_dimension_precision: int = 0,
    include_units_in_dimension_label: bool = False,
    bent_angle_dimension_exclude_list: Union[Tuple[float, ...], List[float]] = (
        45,
        90,
        180,
    ),
    dimension_font_family: str = ""DejaVu Sans"",
    dimension_font_size: float = 2,
    helical_rebar_dimension_label_format: str = ""%L,r=%R,pitch=%P"",
    row_height: float = 40,
    column_width: float = 60,
    column_count: Union[int, Literal[""row_count""]] = ""row_count"",
    side_padding: float = 1,
end_code```"
Reinforcement_BarShapeCutList.wikitext,9,"```start_code
row_height: float = 40,
    column_width: float = 60,
    column_count: Union[int, Literal[""row_count""]] = ""row_count"",
    side_padding: float = 1,
    horizontal_rebar_shape: bool = True,
    output_file: Optional[str] = None,
) -> ElementTree.Element
end_code```"
Reinforcement_BarShapeCutList.wikitext,10,"Generate and return rebar shape cut list SVG element for given .
  is a list of <ArchRebar._Rebar> or <rebar2.BaseRebar> objects, to generate their RebarShape cut list. If not provided, then all ArchRebars and rebar2.BaseRebar objects with unique Mark from ActiveDocument will be selected and rebars with no Mark assigned will be ignored.
  is a list of viewpoint directions for each rebar shape. It can be either of type  or  OR their list. Keep it  to automatically choose view_directions.
  specifies if rebar.Mark is to be included for each rebar shape in rebar shape cut list SVG or not.
  specifies the offset of extended end edges of the stirrup, so that end edges of the stirrup with a 90-degree bent angle do not overlap with stirrup edges.
  specifies the stroke-width of rebars in rebar shape cut list SVG.
  specifies the color style of rebars. It can be ""shape color"" or ""color_name or hex_value_of_color"". ""shape color"" means to select the color of the rebar shape.
  specifies if each rebar edge dimensions and bent angle dimensions are to be included in the rebar shape cut list.
  specifies the units to be used for rebar edge length dimensions.
  specifies the number of decimals that should be shown for rebar length as a dimension label. Set it to None to use user preferred unit precision from FreeCAD unit preferences.
  specifies if rebars edge length units is to be shown in dimension label.
  specifies the list of bent angles to not include their dimensions.
  specifies the font-family of dimension text.
  specifies the font-size of dimension text.
  specifies the format of helical rebar dimension label. E.g. ""%L,r=%R,pitch=%P"" where:
    %L -> Length of helical rebar
    %R -> Helix radius of helical rebar
    %P -> Helix pitch of helical rebar
  specifies the height of each row of rebar shape in the rebar shape cut list.
  specifies the width of each row of rebar shape in the rebar shape cut list.
  specifies the number of columns in the rebar shape cut list. Set it to ""row_count"" to have column_count <= row_count
  specifies the padding on each side of the rebar shape in the rebar shape cut list.
  specifies if the rebar shape is to be made horizontal by rotating the max length edge of the rebar shape.
  specifies the output file to write generated rebar shape cut list SVG."
Reinforcement_BarShapeCutList.wikitext,11,"Example
```start_code
from pathlib import Path

import FreeCAD, Draft, Arch
from ColumnReinforcement import SingleTie
from RebarShapeCutList import RebarShapeCutListfunc

Rect1 = Draft.makeRectangle(400, 400)
Structure1 = Arch.makeStructure(Rect1, height=1600)
Structure1.ViewObject.Transparency = 80
Rect2 = Draft.makeRectangle(500, 500)
Structure2 = Arch.makeStructure(Rect2, height=1600)
Structure2.ViewObject.Transparency = 80
Structure2.Placement = FreeCAD.Placement(FreeCAD.Vector(1000, 0, 0), FreeCAD.Rotation(FreeCAD.Vector(0, 0, 1), 0))
FreeCAD.ActiveDocument.recompute()
end_code```"
Reinforcement_BarShapeCutList.wikitext,12,"```start_code
Create Straight Rebars
rebar_group = SingleTie.makeSingleTieFourRebars(
    l_cover_of_tie=40,        
    r_cover_of_tie=40,
    t_cover_of_tie=40,
    b_cover_of_tie=40,
    offset_of_tie=100,
    bent_angle=135,
    extension_factor=8,
    dia_of_tie=8,
    number_spacing_check=True,
    number_spacing_value=10,
    dia_of_rebars=16,
    t_offset_of_rebars=40,
    b_offset_of_rebars=40,
    rebar_type=""StraightRebar"",
    hook_orientation=""Top Inside"",
    hook_extend_along=""x-axis"",
    l_rebar_rounding=None,
    hook_extension=None,
    structure=Structure1,
    facename=""Face6"",
).rebar_group

 Assign Mark to straight rebars
for straight_rebar in rebar_group.RebarGroups[1].MainRebars:
    straight_rebar.Mark = ""main_sb""
end_code```"
Reinforcement_BarShapeCutList.wikitext,13,"```start_code
Assign Mark to straight rebars
for straight_rebar in rebar_group.RebarGroups[1].MainRebars:
    straight_rebar.Mark = ""main_sb""

 Create LShaped Rebars with hook along x-axis
rebar_group = SingleTie.makeSingleTieFourRebars(
    l_cover_of_tie=40,
    r_cover_of_tie=40,
    t_cover_of_tie=40,
    b_cover_of_tie=40,
    offset_of_tie=100,
    bent_angle=90,
    extension_factor=8,
    dia_of_tie=8,
    number_spacing_check=True,
    number_spacing_value=10,
    dia_of_rebars=16,
    t_offset_of_rebars=-40,
    b_offset_of_rebars=-40,
    rebar_type=""LShapeRebar"",
    hook_orientation=""Top Outside"",
    hook_extend_along=""x-axis"",
    l_rebar_rounding=2,
    hook_extension=100,
    structure=Structure2,
    facename=""Face6"",
).rebar_group

 Assign Mark to lshape rebars
for lshape_rebar in rebar_group.RebarGroups[1].MainRebars:
    lshape_rebar.Mark = ""main_lb""

output_file = str(Path.home() / ""RebarShapeCutList.svg"")
end_code```"
Reinforcement_BarShapeCutList.wikitext,14,"```start_code
Assign Mark to lshape rebars
for lshape_rebar in rebar_group.RebarGroups[1].MainRebars:
    lshape_rebar.Mark = ""main_lb""

output_file = str(Path.home() / ""RebarShapeCutList.svg"")

 Create Rebar Shape Cut List for all base rebars in model
RebarShapeCutListfunc.getRebarShapeCutList(
    base_rebars_list=None,
    view_directions=FreeCAD.Vector(0, 0, 0),
    include_mark=True,
    stirrup_extended_edge_offset=2,
    rebars_stroke_width=0.35,
    rebars_color_style=""shape color"",
    include_dimensions=True,
    rebar_edge_dimension_units=""mm"",
    rebar_edge_dimension_precision=0,
    include_units_in_dimension_label=False,
    bent_angle_dimension_exclude_list=(45, 90, 180),
    dimension_font_family=""DejaVu Sans"",
    dimension_font_size=2,
    helical_rebar_dimension_label_format=""%L,r=%R,pitch=%P"",
    row_height=40,
    column_width=60,
    column_count=""row_count"",
    side_padding=1,
    horizontal_rebar_shape=True,
    output_file=output_file,
)
end_code```"
Reinforcement_BarShapeCutList.wikitext,15,"Category:External_Command_Reference
Category:Reinforcement"
Units.wikitext,0,"Some reading about units:
Metrology
SI system
Imperial units
SI derived units
angle units
unit implemented in OCC

 Examples
```start_code
-- some examples of the FreeCAD unit translation system --
 make a shortcut for the examples
pq = FreeCAD.Units.parseQuantity

 10 meters in internal numbers
pq('10 m')

 doing math
pq('3/8 in')

 combined stuff
pq('100 km/h')

 transfer to other units
pq('100 km/h')/tu('m/s')

 derived units (Ohm)
pq('m^2*kg*s^-3*A^-2')

 or
pq('(m^2*kg)/(A^2*s^3)')

 angles 
pq('2*pi rad') # full circle

 as gon
pq('2*pi rad') / tu('gon')

 more imperial
tu('1ft (3+7/16)in')

 or 
pq('1\' (3+7/16)""') # the ' we have to escape because of python

 trigonometry
pq('sin(pi)')

 Using translated units as parameters, this command will create a 50.8mm x 20mm x 10mm box
b = Part.makeBox(pq('2in'), pq('2m')/100, 10)
end_code```"
Units.wikitext,1,"Supported units 

A complete list of all supported units can be found here.

 See Also 

 The Expressions page for a list of all known units.
 The documentation of Quantity.
 The Std UnitsCalculator tool."
Draft_Shape2DView.wikitext,0,"Description

The  Draft Shape2DView command creates 2D projections from selected objects, usually 3D solids or Arch SectionPlanes. The projections are placed in the 3D view.

Draft Shape2DView projections can be displayed on a TechDraw Workbench page using the TechDraw DraftView command. Alternatively the TechDraw Workbench offer its own projection commands. But these create projections that are only displayed on the drawing page and not in the 3D view.

Usage

 Optionally rotate the 3D view. The camera direction in the 3D view determines the projection vector. For example, a top view will project onto the XY plane. The projection vector is ignored for projections created from Arch SectionPlanes.
 Optionally select one or more objects.
 There are several ways to invoke the command:
 Press the Shape 2D view button.
 Select the Modification →  Shape 2D view option from the menu.
 If you have not yet selected an object: select an object in the 3D view.
 The projected objects are created on the XY plane."
Draft_Shape2DView.wikitext,1,"How to produce plans and sections with different linewidths

Drawings with different linewidths for viewed and cut lines can easily be produced by using two shape2Dview objects from a same Arch SectionPlane. One of the shape2Dview objects has its projection mode set to Solid, which renders the viewed lines, and another set to Cut lines or Cut faces to render the cut lines. The two shape2Dviews are then placed at the same location, one on top of the other.

Properties

See also: Property editor.

A Draft Shape2DView object is derived from a Part Part2DObject and inherits all its properties. It also has the following additional properties:

Data"
Draft_Shape2DView.wikitext,2,": specifies if the projection should be automatically recomputed if the  object changes. Selecting  can be useful if there are many Draft Shape2DViews in a document or if they are complex. If set to  the Std Refresh command must be used to update the projection.
 : specifies the object to be projected.
 : if this is True, the contents are clipped to the borders of the section plane, if applicable. This overrides the base object's Clip property.
 : specifies the indices of the faces to be projected. Only works if  is .
 : specifies if BIM objects of the same type and material are fused or not.
 : specifies if hidden lines are shown or not.
 : only works if the selected object is an Arch SectionPlane, and  is  or , specifies if the projection will appear co-planar with the section plane.
 : specifies the direction of the projection. Ignored if  is an Arch SectionPlane.
 : specifies the projection mode. The following modes are available:
 : projects the entire selected object.
 : only projects the faces in the  list.
 : only works if the selected object is an Arch SectionPlane, projects only the edges cut by the section plane.
 : only works if the selected object is an Arch SectionPlane, projects the areas cut through solids by the section plane as faces.
 : projects the entire selected object by cutting faces one by one. Can be used if the  mode gives wrong results.
 : specifies the size in millimeters of linear segments if  is .
 : specifies if tessellation should be performed. Tessellation means that curves are replaced by sequences of line segments. This can be computationally intensive if the  is too short.
 : specifies if the projection should only be recomputed if it is visible.
 : A list of exclusion points. Any edge passing through any of those points will not be drawn.
 : A list of object names. Any viewed or cut child object with a name in that list will not be drawn."
Draft_Shape2DView.wikitext,3,"View

 : not used.
 : not used.

Scripting

See also: Autogenerated API documentation and FreeCAD Scripting Basics.

To create a 2D projection use the  method () of the Draft module. This method replaces the deprecated  method.
```start_code
shape2dview = make_shape2dview(baseobj, projectionVector=None, facenumbers=[])
end_code```
is the object to be projected.
  is the projection vector. If not supplied the Z axis is used.
  is a list of face numbers (0-based). If supplied only these faces are considered.
  is returned with the created 2D projection.

Change the  property of the created object if required. It can be: , , ,  or .

Example:"
Draft_Shape2DView.wikitext,4,"```start_code
import FreeCAD as App
import Draft

doc = App.newDocument()

box = doc.addObject(""Part::Box"", ""Box"")
box.Length = 2300
box.Width = 500
box.Height = 1000

shape1 = Draft.make_shape2dview(box)

shape2 = Draft.make_shape2dview(box, App.Vector(1, -1, 1))

shape3 = Draft.make_shape2dview(box, App.Vector(-1, 1, 1), [0, 5])
shape3.ProjectionMode = ""Individual Faces""

doc.recompute()
end_code```"
Std_StoreWorkingView.wikitext,0,"Description

The Std StoreWorkingView command stores the camera settings of the active 3D view in its temporary working view. This view can be recalled with the Std RecallWorkingView command.

Each 3D view has its own working view. Storing a new working view will overwrite the existing working view of the active 3D view. When a 3D view is closed its working view is lost.

Usage

 Make sure a 3D view is active.
 There are several ways to invoke the command:
 Select the View → Standard views → Store working view option from the menu.
 Use the keyboard shortcut: Shift+End.

Scripting

See also: Autogenerated API documentation and FreeCAD Scripting Basics.

To store the current camera settings of the active 3D view in a working view:
```start_code
import FreeCADGui

FreeCADGui.runCommand(""Std_StoreWorkingView"", 0)
end_code```"
CAM_Array.wikitext,0,"Description

The tool  Array creates a new path by duplicating another path several times at a certain interval distance.

Usage

 Select the operation you want to repeat
 Press the Array button
 Press Apply
 Adjust the desired properties at the data box

Properties

: The type array (polar, linear one ore two directions)
: The spacing between the array copies for each direction
: The number of copies (not counting the original) for each direction

Scripting

 FreeCAD Scripting Basics.

Example:
```start_code
Place code example here.
end_code```"
Draft_CircularArray.wikitext,0,"Description

The  Draft CircularArray command creates an array from a selected object by placing copies along concentric circumferences. The command can optionally create a Link array, which is more efficient than a regular array.

The command can be used on 2D objects created with the Draft Workbench or Sketcher Workbench, but also on many 3D objects such as those created with the Part Workbench, PartDesign Workbench or BIM Workbench.

 Usage 

See also: Draft Snap.

 Optionally select one object.
 There are several ways to invoke the command:
 Press the Circular array button.
 Select the Modification → Array tools →  Circular array option from the menu.
 The Circular array task panel opens. See Options for more information.
 If you have not yet selected an object: select one object.
 Enter the required parameters in the task panel.
 To finish the command do one of the following:
 Pick a point in the 3D view for the Center of rotation.
 Press Enter.
 Press the OK button.

 Options"
Draft_CircularArray.wikitext,1,"Enter the Radial distance to specify the distance between the circular layers, and between the center and the first circular layer.
 Enter the Tangential distance to specify the distance between the elements on the same circular layer. Must be larger than zero.
 Enter the Number of circular layers. The element at the center counts as one layer. Must be at least . The maximum that can be entered in the task panel is , but higher values are possible by changing the  property of the array.
 Enter the Symmetry value. This number determines how the elements are distributed. A value of , for example, results in a pattern with three equal 120° pie segments. Larger values for the Symmetry and the Tangential distance result in fewer or even no elements on the inner layers.
 Pick a point in the 3D view, note that this will also finish the command, or type coordinates for the Center of rotation. The rotation axis of the array will pass through this point. It is advisable to move the pointer out of the 3D view before entering coordinates.
 Press the Reset point button to reset the Center of rotation to the origin.
 If the Fuse checkbox is checked overlapping elements in the array are fused.
 If the Link array checkbox is checked a Link array instead of a regular array is created. A Link array is more efficient because its elements are App Link objects.
 Press Esc or the Cancel button to abort the command."
Draft_CircularArray.wikitext,2,"Notes

See Draft OrthoArray.

 The default rotation axis for the array is the positive Z axis. This can be changed by editing its  property.

 Properties 

See Draft OrthoArray.

 Scripting 

See also: Autogenerated API documentation and FreeCAD Scripting Basics.

To create a circular array use the  method () of the Draft module. This method replaces the deprecated  method. The  method can create Draft OrthoArrays, Draft PolarArrays and Draft CircularArrays. For each array type one or more wrappers are available.

The main method:
```start_code
array = make_array(base_object, arg1, arg2, arg3, arg4=None, arg5=None, arg6=None, use_link=True)
end_code```
The wrapper for circular arrays is:
```start_code
array = make_circular_array(base_object,
                            r_distance=100, tan_distance=50,
                            number=3, symmetry=1,
                            axis=App.Vector(0, 0, 1), center=App.Vector(0, 0, 0),
                            use_link=True)
end_code```"
Draft_CircularArray.wikitext,3,"is the object to be arrayed. It can also be the  (string) of an object in the current document.
  and  are the radial and tangential distances between the elements.
  is the number of circular layers in the pattern, the original object counts as the first layer.
  is an integer used in some calculations that affect the way the elements are distributed around the circumferences. Usual values are from 1 to 6. Higher values are not recommended and will make the elements in the inner layers disappear.
  and  are vectors that describe the direction of the axis of rotation, and a point through which that axis passes.
 If  is  the created elements are App Links instead of regular copies.
  is returned with the created array object.

Example:
```start_code
import FreeCAD as App
import Draft

doc = App.newDocument()

tri = Draft.make_polygon(3, 600)

array = Draft.make_circular_array(tri, 1800, 1200, 4, 1)
doc.recompute()
end_code```"
Part_API.wikitext,0,"The Part module is the direct connection between FreeCAD and the OpenCasCade kernel. It provides mainly TopoShapes which is the main object type used by OpenCascade. The Part module also contains a variety of convenience functions to create and manipulate topoShapes. Example:
```start_code
import Part
mycube = Part.makeBox(2,2,2)
Part.show(mycube)
end_code```
```start_code
__fromPythonOCC__(OCC.Object)
end_code```
Description: Helper method to convert a pythonocc shape to an internal shape
Returns: A Part.Shape
```start_code
__sortEdges__(list of edges)
end_code```
Description: Helper method to sort an unsorted list of edges so that afterwards the start and end vertex of two consecutive edges are geometrically coincident. It returns a single list of edges and the algorithm stops after the first set of connected edges which means that the output list can be smaller than the input list. The sorted list can be used to create a Wire.
Returns: a list of edges
```start_code
__toPythonOCC__(Part.Shape)
end_code```"
Part_API.wikitext,1,"Description: Helper method to convert an internal shape to pythonocc shape
Returns: an OCC.Shape
```start_code
cast_to_shape(Part.Shape)
end_code```
Description: Cast to the actual shape type
Returns:
```start_code
export(list,string)
end_code```
Description: Export a list of objects into a single file.
Returns:
```start_code
getSortedClusters(list of edges)
end_code```
Description: Helper method to sort and cluster a variety of edges
Returns:
```start_code
insert(string,string)
end_code```
Description: Insert the file (path given as first argument) into the given document (second argument).
Returns:
```start_code
makeBox(length,width,height,[pnt,dir])
end_code```
Description: Makes a box located at pnt with the dimensions (length,width,height). By default pnt is Vector(0,0,0) and dir is Vector(0,0,1)
Returns: the created shape
```start_code
makeCircle(radius,[pnt,dir,angle1,angle2])
end_code```"
Part_API.wikitext,2,"Description: Makes a circle with a given radius. By default pnt is Vector(0,0,0), dir is Vector(0,0,1), angle1 is 0 and angle2 is 360
Returns: the created shape
```start_code
makeCompound(list)
end_code```
Description: Creates a compound out of a list of shapes.
Returns: the created shape
```start_code
makeCone(radius1,radius2,height,[pnt,dir,angle])
end_code```
Description: Makes a cone with given radii and height. By default pnt is Vector(0,0,0), dir is Vector(0,0,1) and angle is 360
Returns: the created shape
```start_code
makeCylinder(radius,height,[pnt,dir,angle])
end_code```
Description: Makes a cylinder with a given radius and height. By default pnt is Vector(0,0,0),dir is Vector(0,0,1) and angle is 360
Returns: the created shape
```start_code
makeHelix(pitch,height,radius,[angle,lefthand,heightstyle])
end_code```"
